N dim alpha_a alpha_g N_samples short_mean short_err diameter_mean diameter_err ass_coeff_mean ass_coeff_err
5000 3 2.0 5.0 20002 9.05519878562144 0.0037112338076143 23.21297870212979 0.0128342147573767 -0.0938818740725927 0.0001349100293835
5000 3 2.0 9.0 20002 9.327457127287271 0.003663762465513 23.692680731926806 0.0129865111898348 -0.0929950676782321 0.0001347641837443
5000 3 2.0 8.0 20002 9.277764358564143 0.0036863628627072 23.6026397360264 0.0129839964220366 -0.0932606129637036 0.0001363985242819
5000 3 2.0 1.0 20002 11.784606611338866 0.0137735815231315 29.316218378162183 0.0296094711940967 -0.1190795796570342 0.0002241735990066
5000 4 2.0 3.0 20002 8.282337327267273 0.0043503996154961 22.04234576542346 0.0129378407721767 -0.0888998449755024 0.0001306728828884
5000 4 2.0 4.0 20002 8.329925168983102 0.0041146065930765 22.17873212678732 0.0128337591915643 -0.0847021109439056 0.0001240264023094
5000 4 2.0 1.0 20002 11.620496334366562 0.0135497460846625 28.861613838616137 0.0288221747261764 -0.117038900729927 0.0002310548515534
5000 4 2.0 8.0 20002 8.475111629837016 0.0038318422611578 22.48120187981202 0.0126524529748842 -0.0780363081741826 0.0001129902768184
5000 4 2.0 9.0 20001 8.495861407929603 0.0038315883570272 22.497825108744564 0.0126234868740587 -0.0773319398530073 0.0001115864330116
5000 4 2.0 5.0 20002 8.372122256274373 0.0039601676356012 22.253124687531248 0.0127811998494014 -0.0820776624837516 0.0001184874463933
5000 4 2.0 2.0 20002 8.387326072392762 0.0054423311395772 22.094540545945407 0.0138595362691819 -0.0976895546645335 0.0001540817753044
5000 3 2.0 3.0 20002 8.825727581741825 0.0040228441817832 22.816168383161685 0.0130430866245417 -0.0956936936756324 0.0001392930989278
5000 3 2.0 4.0 20002 8.94495793220678 0.0037573096752435 23.01904809519048 0.0127982337317443 -0.094459605659434 0.0001376146775878
5000 1 2.0 3.0 20001 12.866749377531123 0.0065021663809229 30.938553072346384 0.0202770349510835 -0.0343150908508674 0.0001078839139909
5000 1 2.0 4.0 20002 13.130242464753524 0.0071516356056768 31.435056494350565 0.0210908420931516 -0.0351505346175032 0.0001083727653267
5000 1 2.0 6.0 20001 13.58363593320334 0.0082003839200668 32.346882655867205 0.0229215411890531 -0.036730515539128 0.0001085294351916
5000 1 2.0 7.0 20002 13.78787803719628 0.0086254897957957 32.76322367763224 0.0237059543088408 -0.0372531921188596 0.0001096097324431
5000 1 2.0 2.0 20002 12.635383746625337 0.0063823695966186 30.677982201779823 0.0208553821395053 -0.033409186789777 0.0001142577963662
5000 1 2.0 5.0 20002 13.368669783021696 0.0075952159886515 31.923707629237075 0.0220786281796416 -0.0361371966978962 0.0001074616967038
5000 1 2.0 9.0 20002 14.109729632036796 0.009670995895764 33.398210178982104 0.0253223607373386 -0.0380870125063593 0.0001119381028014
5000 1 2.0 8.0 20002 13.943664618538149 0.0091446234201103 33.06014398560144 0.0243786272454328 -0.0376301739410114 0.0001108302543974
5000 1 2.0 1.0 20002 13.36250803419658 0.0120410354673589 32.87021297870213 0.0311453394997667 -0.0388948060973817 0.0001381550568935
10000 1 21.0 2.0 51 16.900333333333336 0.1902084650735106 41.25490196078432 0.7382242271909585 0.0614220647058823 0.0010998469598274
10000 1 9.0 0.1 26 18.37108076923077 0.2317877762768368 47.11538461538461 0.613506750202782 0.0209230632307692 0.0019972644664475
10000 1 7.0 9.0 26 18.282976923076923 0.4119324860032917 43.15384615384615 1.062207147249838 0.0432328307692307 0.0015993594106946
10000 1 8.0 4.0 26 17.134084615384616 0.1643892472332578 41.96153846153846 0.8142590198943392 0.0471907807692307 0.001786625359403
10000 1 3.0 1.0 26 14.89886153846154 0.2755340285603115 36.30769230769231 0.7354103632441306 0.0074990266423076 0.0018575115852247
10000 1 4.0 3.0 26 15.474446153846156 0.2135735752331496 37.61538461538461 1.0229323206079564 0.0213502238461538 0.0016913844937058
10000 1 8.0 0.1 26 18.24176923076923 0.2474152427845345 46.57692307692308 0.706395132231414 0.0199579157692307 0.0017563519317554
10000 1 9.0 9.0 26 18.129569230769228 0.3086976549096957 43.84615384615385 1.4429588273803216 0.0506304076923076 0.0015632281009198
10000 1 28.0 2.0 51 17.060586274509802 0.186035525260573 41.64705882352941 0.8140065661496333 0.0629062705882353 0.0010633217187783
10000 1 0.0 9.0 26 9.404556923076925 0.0842379465904478 24.615384615384617 0.2939226642237354 -0.0625033346153846 0.0025393963532906
10000 1 2.0 5.0 26 14.374484615384617 0.1644089103604702 35.30769230769231 0.5731672618522202 -0.0250534136538461 0.0024668616123719
10000 1 0.0 6.0 26 9.360259615384615 0.1130237094547739 25.07692307692308 0.3759012837806343 -0.0630038115384615 0.0028729309209576
10000 1 1.0 3.0 26 11.349445384615384 0.1286094425463038 28.76923076923077 0.4684103799273332 -0.0764638153846153 0.0033714557763795
10000 1 5.0 6.0 26 16.63688076923077 0.2826837966578548 40.23076923076923 0.9385876333950552 0.0307539115384615 0.0017725614527207
10000 1 9.0 6.0 26 18.22688846153846 0.3967707941844404 43.30769230769231 1.258533005305696 0.0528349884615384 0.0014395587386346
